SystemId,threshold,maxTPR,PPV,total
stangnes-gw,262421.111111,0.9864864864864864,0.6403508771929824,232
rodbergvn-gw2,166442.888888,0.9864864864864864,0.6403508771929824,232
narvik-gw4,44074.111111,0.9864864864864864,0.6347826086956522,232
tromso-fh-gw,1549.111111,0.9864864864864864,0.6347826086956522,232
tromso-gw5,89190.222222,0.9864864864864864,0.6375545851528385,232
teknobyen-gw1,395.222222,0.9864864864864864,0.6347826086956522,232
narvik-gw3,56860.666666,0.9864864864864864,0.6403508771929824,232
hovedbygget-gw,44456.333333,0.9864864864864864,0.6347826086956522,232
hoytek-gw2,53752.444444,0.9864864864864864,0.6347826086956522,232
teknobyen-gw2,66966.555555,0.9864864864864864,0.6347826086956522,232
ma2-gw,128884.555555,0.9864864864864864,0.6375545851528385,232
bergen-gw3,160226.666666,0.9864864864864864,0.6460176991150443,232
narvik-kv-gw,40472.333333,0.9864864864864864,0.6347826086956522,232
trd-gw,336960.333333,0.9864864864864864,0.6347826086956522,232
ifi2-gw5,5476.333333,0.9864864864864864,0.6375545851528385,232
oslo-gw1,76104.333333,0.9864864864864864,0.6347826086956522,232
